link_id,src_account_id,dst_account_id,amount,transfer_timestamp
1,17813,2860,55.25,2024-01-26 10:20:00
2,4409,15313,823.96,2024-03-02 05:25:00
3,4539,16579,52.42,2024-02-04 10:41:00
4,21251,15404,317.53,2024-01-15 03:40:00
5,17188,18618,83.18,2024-02-04 10:24:00
6,12829,5489,102.84,2024-03-28 18:14:00
7,19309,16503,138.78,2024-01-27 21:51:00
8,278,2021,778.9,2024-02-09 18:38:00
9,7698,11243,168.68,2024-02-09 12:46:00
10,11613,5119,62.78,2024-03-29 13:07:00
11,18976,5522,111.19,2024-02-03 01:41:00
12,10948,3488,1761.44,2024-01-13 10:21:00
13,5149,23192,31.87,2024-03-26 07:01:00
14,13860,8886,1017.74,2024-03-22 19:44:00
15,7270,10488,222.91,2024-03-09 19:01:00
16,1037,875,117.12,2024-02-20 00:33:00
17,14890,18548,91.63,2024-02-01 10:09:00
18,7190,8635,88.94,2024-01-12 11:58:00
19,15116,14033,1101.1,2024-03-12 00:33:00
20,11533,8796,29.65,2024-02-13 18:40:00
21,11847,4981,67.2,2024-01-01 11:55:00
22,16427,5565,99.58,2024-01-27 08:30:00
23,1060,12098,15.43,2024-01-14 10:31:00
24,5741,8338,194.93,2024-01-19 23:34:00
25,18840,15050,36.69,2024-03-11 19:39:00
26,11012,4110,545.56,2024-02-21 17:08:00
27,18977,11632,10.55,2024-02-13 02:48:00
28,10320,11485,25.34,2024-03-08 17:00:00
29,3584,23841,262.46,2024-01-10 08:58:00
30,14757,24691,26.79,2024-01-05 03:10:00
31,20013,6796,265.79,2024-03-10 06:43:00
32,15703,3139,65.01,2024-03-15 06:57:00
33,10380,22818,15.47,2024-02-11 16:25:00
34,6971,16720,109.96,2024-02-13 12:17:00
35,6202,7807,31.06,2024-02-16 18:13:00
36,22050,22467,1131.89,2024-01-19 13:47:00
37,11090,953,177.19,2024-02-08 23:14:00
38,16205,15869,867.55,2024-02-12 01:46:00
39,16007,858,426.45,2024-03-12 19:04:00
40,20890,18589,1326.64,2024-01-21 04:49:00
41,5398,24348,100.76,2024-02-10 15:44:00
42,6000,9606,92.34,2024-03-05 21:28:00
43,18874,845,1.75,2024-03-18 11:28:00
44,6794,14268,448.11,2024-02-08 01:33:00
45,7377,16056,63.0,2024-03-05 21:47:00
46,4061,23829,68.73,2024-03-16 23:41:00
47,5597,24200,12.16,2024-02-04 06:20:00
48,3877,6977,122.59,2024-02-12 23:37:00
49,11078,15195,126.35,2024-03-11 22:17:00
50,12990,906,15.17,2024-02-26 18:35:00
51,11066,19650,3322.78,2024-01-14 01:21:00
52,5351,23054,71.09,2024-02-24 18:20:00
53,12841,67,158.07,2024-02-09 06:22:00
54,6614,12843,94.05,2024-01-19 14:08:00
55,8622,1509,7.13,2024-01-06 06:40:00
56,3581,19343,89.88,2024-03-24 04:35:00
57,21620,20629,696.9,2024-02-28 00:31:00
58,4406,4465,58.54,2024-02-04 02:59:00
59,13294,13989,44.37,2024-01-31 07:24:00
60,5606,15683,308.85,2024-02-13 03:05:00
61,6270,5853,19.71,2024-02-09 08:09:00
62,22653,21231,1808.23,2024-03-13 02:11:00
63,8537,13914,991.41,2024-03-28 11:49:00
64,16470,24134,119.87,2024-01-08 13:59:00
65,1891,14399,1176.29,2024-02-13 03:58:00
66,4262,8250,523.13,2024-03-19 05:28:00
67,4807,8915,65.68,2024-01-13 23:25:00
68,23925,19022,564.51,2024-01-12 12:34:00
69,10152,14818,3255.73,2024-01-25 00:22:00
70,12280,14984,1128.82,2024-02-25 04:51:00
71,21044,21746,140.92,2024-03-20 06:18:00
72,18072,4305,753.2,2024-03-27 05:31:00
73,6879,28,356.85,2024-03-18 02:57:00
74,20687,16322,42.92,2024-01-28 22:55:00
75,7177,4754,342.18,2024-03-07 10:17:00
76,5343,5347,48.93,2024-03-04 20:32:00
77,66,20459,3278.57,2024-02-01 18:30:00
78,9759,16869,39.56,2024-02-18 13:52:00
79,4940,2056,134.78,2024-02-14 06:16:00
80,676,12256,2199.54,2024-02-29 03:00:00
81,19870,21817,169.74,2024-01-14 05:19:00
82,14818,5188,25.95,2024-03-04 04:27:00
83,9527,11202,21.48,2024-01-28 22:08:00
84,24731,1837,856.56,2024-02-25 14:18:00
85,9381,8816,177.95,2024-03-11 10:21:00
86,5358,13883,365.41,2024-02-14 07:27:00
87,17652,23928,30.84,2024-02-01 10:04:00
88,3836,21651,249.91,2024-03-28 08:13:00
89,1871,16747,34.65,2024-02-10 11:01:00
90,10677,1203,251.78,2024-03-02 12:12:00
91,22207,14888,60.42,2024-01-22 02:56:00
92,4807,7646,1001.75,2024-03-30 16:48:00
93,7396,18316,91.76,2024-01-10 09:48:00
94,18840,19456,1019.79,2024-03-01 07:58:00
95,10429,15485,17.29,2024-03-02 22:18:00
96,17425,13738,161.48,2024-03-01 01:08:00
97,8667,5037,161.22,2024-02-22 16:43:00
98,11459,23803,66.5,2024-03-14 00:33:00
99,11142,22530,647.13,2024-03-12 03:21:00
100,16729,5978,23.72,2024-01-02 11:40:00
101,4605,8848,49.91,2024-01-15 16:20:00
