txn_id,account_id,merchant_id,amount,txn_timestamp,txn_hour
1,23894,3181,26.63,2024-01-23 14:19:00,14
2,4263,2961,37.52,2024-03-12 07:29:00,7
3,20533,2534,127.95,2024-02-19 10:27:00,10
4,21121,4364,182.97,2024-01-11 23:49:00,23
5,14673,60,7.47,2024-03-26 09:23:00,9
6,24542,786,31.77,2024-02-23 06:08:00,6
7,15681,2585,114.36,2024-03-27 06:18:00,6
8,19202,3922,30.62,2024-02-23 20:12:00,20
9,22020,1236,159.14,2024-03-14 05:30:00,5
10,349,713,93.83,2024-01-11 17:51:00,17
11,23326,3567,50.35,2024-03-11 06:34:00,6
12,747,6414,14.26,2024-01-22 10:36:00,10
13,15745,4795,35.26,2024-01-07 15:52:00,15
14,20609,3828,130.23,2024-02-26 13:50:00,13
15,12734,1735,133.83,2024-03-23 02:30:00,2
16,19561,4229,22.61,2024-03-16 19:19:00,19
17,12012,5729,186.79,2024-01-10 05:09:00,5
18,12226,3778,216.65,2024-03-12 13:40:00,13
19,10878,4986,43.76,2024-02-27 02:27:00,2
20,6244,3295,42.58,2024-02-27 08:38:00,8
21,13948,1701,29.52,2024-02-05 15:11:00,15
22,19207,2899,9.2,2024-03-27 18:01:00,18
23,13949,3322,32.16,2024-03-15 06:35:00,6
24,805,4447,62.36,2024-01-28 10:28:00,10
25,22483,2177,39.34,2024-01-28 10:18:00,10
26,3800,1669,140.51,2024-02-03 08:42:00,8
27,21925,4763,104.81,2024-03-12 03:59:00,3
28,15488,3390,73.06,2024-03-21 05:11:00,5
29,10447,5402,28.05,2024-02-20 10:33:00,10
30,2237,5014,99.92,2024-01-30 18:59:00,18
31,17588,6364,453.75,2024-03-07 21:23:00,21
32,17433,6192,172.07,2024-01-27 13:13:00,13
33,1963,1853,48.26,2024-01-17 04:00:00,4
34,8015,1284,23.95,2024-03-25 15:31:00,15
35,2227,7255,3.56,2024-02-27 11:58:00,11
36,9519,6336,58.46,2024-02-18 18:13:00,18
37,1767,4790,121.42,2024-02-17 20:47:00,20
38,16567,6008,1.18,2024-01-10 06:02:00,6
39,3130,3532,94.52,2024-03-04 12:46:00,12
40,12752,6965,50.96,2024-02-06 04:39:00,4
41,9362,6708,23.55,2024-03-27 19:36:00,19
42,17289,4328,272.1,2024-03-23 14:39:00,14
43,10923,6083,68.87,2024-02-24 22:01:00,22
44,8293,7182,5.27,2024-03-09 15:10:00,15
45,22210,3240,57.45,2024-02-11 13:17:00,13
46,21682,1985,19.64,2024-01-08 05:07:00,5
47,24258,931,117.16,2024-03-01 20:40:00,20
48,19466,1216,61.22,2024-01-12 07:31:00,7
49,5749,4341,5.49,2024-03-04 08:34:00,8
50,8773,1503,187.96,2024-01-14 12:22:00,12
51,21481,814,211.05,2024-01-16 17:31:00,17
52,2485,2459,117.82,2024-02-10 12:11:00,12
53,6994,4421,124.15,2024-02-19 07:09:00,7
54,13786,2661,32.27,2024-01-30 13:37:00,13
55,16570,7339,122.42,2024-01-07 10:18:00,10
56,20702,4307,1.78,2024-03-10 16:36:00,16
57,19598,2937,1.93,2024-02-18 16:05:00,16
58,17445,341,93.39,2024-02-09 11:27:00,11
59,21953,4176,66.6,2024-03-03 04:18:00,4
60,14426,1521,44.2,2024-03-26 18:08:00,18
61,20979,1484,78.64,2024-03-21 22:20:00,22
62,14227,936,36.46,2024-01-22 09:08:00,9
63,17745,5200,321.89,2024-01-26 14:44:00,14
64,3741,7276,19.92,2024-03-17 06:18:00,6
65,2812,1991,69.34,2024-02-21 15:29:00,15
66,11424,1677,47.04,2024-03-05 13:29:00,13
67,955,2927,313.13,2024-03-24 12:29:00,12
68,19190,886,258.43,2024-03-25 20:31:00,20
69,24857,3173,128.24,2024-02-10 22:44:00,22
70,19122,5384,305.35,2024-03-19 16:17:00,16
71,1833,2718,190.85,2024-02-08 23:43:00,23
72,16273,5232,155.26,2024-03-24 13:35:00,13
73,15387,762,22.72,2024-01-20 19:42:00,19
74,24297,3455,99.09,2024-03-09 17:44:00,17
75,23870,3343,2.57,2024-01-05 17:01:00,17
76,11273,2162,134.14,2024-02-18 22:28:00,22
77,11553,2041,46.61,2024-01-30 10:26:00,10
78,24036,5223,8.65,2024-03-03 02:29:00,2
79,6638,52,149.46,2024-02-24 07:49:00,7
80,17978,5446,409.76,2024-01-18 21:50:00,21
81,14745,3778,67.3,2024-02-10 08:17:00,8
82,13795,3270,28.39,2024-01-17 09:13:00,9
83,23006,4007,4.12,2024-03-15 12:16:00,12
84,19405,1090,231.82,2024-03-27 09:42:00,9
85,17327,812,21.36,2024-01-05 14:14:00,14
86,23636,3577,241.92,2024-01-17 15:57:00,15
87,2775,3999,11.4,2024-02-05 02:51:00,2
88,20528,3424,546.06,2024-01-24 08:43:00,8
89,19085,4056,64.24,2024-03-14 15:12:00,15
90,19183,1009,25.06,2024-03-07 13:15:00,13
91,24527,1846,21.55,2024-03-18 15:29:00,15
92,18370,4072,259.92,2024-02-13 06:49:00,6
93,1314,7236,60.11,2024-03-08 05:08:00,5
94,19943,2924,37.3,2024-02-20 06:37:00,6
95,19278,6280,42.44,2024-02-26 06:58:00,6
96,12061,2309,35.34,2024-02-26 12:42:00,12
97,16145,227,86.0,2024-01-17 07:02:00,7
98,24246,3744,8.43,2024-01-31 06:56:00,6
99,9208,2846,72.04,2024-03-03 08:42:00,8
100,20249,4404,125.21,2024-02-13 12:24:00,12
101,367,175,195.42,2024-01-21 15:00:00,15
102,2185,276,6.57,2024-02-28 10:52:00,10
103,19484,6881,107.42,2024-03-30 10:59:00,10
104,12270,121,236.49,2024-01-12 12:01:00,12
105,7170,1597,48.9,2024-01-12 13:17:00,13
106,1993,7338,197.11,2024-03-25 21:56:00,21
107,8754,4598,48.2,2024-03-08 11:02:00,11
108,3932,962,294.36,2024-03-07 12:30:00,12
109,23869,1241,94.66,2024-03-15 07:44:00,7
110,1322,4947,220.67,2024-03-30 11:16:00,11
111,13811,2765,105.96,2024-02-22 21:16:00,21
112,15544,2449,48.87,2024-02-11 12:21:00,12
113,7088,7266,58.62,2024-02-28 09:39:00,9
114,17943,1791,74.78,2024-02-22 09:19:00,9
115,58,475,120.78,2024-01-17 12:28:00,12
116,14917,5856,95.7,2024-02-29 20:48:00,20
117,12480,733,39.05,2024-01-31 19:17:00,19
118,11747,451,23.98,2024-02-29 16:59:00,16
119,22918,4808,45.28,2024-01-03 10:29:00,10
120,17461,5911,14.65,2024-02-16 23:28:00,23
121,13578,4888,26.44,2024-02-25 08:02:00,8
122,9101,2741,382.34,2024-02-04 11:46:00,11
123,12818,3464,5.86,2024-02-24 23:45:00,23
124,20761,4257,10.72,2024-03-30 13:13:00,13
125,16540,900,57.61,2024-01-16 15:13:00,15
126,16890,3276,8.5,2024-02-03 17:17:00,17
127,6658,7056,49.94,2024-03-07 10:38:00,10
128,14144,3687,92.38,2024-01-03 11:43:00,11
129,8978,4263,236.15,2024-02-18 11:24:00,11
130,4774,2445,98.96,2024-02-09 07:03:00,7
131,8469,2914,26.03,2024-01-11 10:19:00,10
132,23297,5962,292.46,2024-03-12 07:07:00,7
133,2541,3301,381.27,2024-01-04 09:11:00,9
134,8468,6262,17.49,2024-02-08 11:05:00,11
135,19001,333,307.02,2024-03-08 11:10:00,11
136,17551,293,562.81,2024-02-25 00:09:00,0
137,10577,5580,70.31,2024-03-26 17:52:00,17
138,21597,5743,5.91,2024-01-28 22:06:00,22
139,16473,5861,246.49,2024-02-29 23:04:00,23
140,20963,5649,27.68,2024-01-28 04:20:00,4
141,13549,6661,201.88,2024-02-03 15:09:00,15
142,10894,958,2.26,2024-02-05 07:10:00,7
143,20638,2383,32.82,2024-01-17 16:23:00,16
144,13135,4911,578.4,2024-03-25 11:35:00,11
145,16127,19,9.45,2024-03-06 01:10:00,1
146,1367,6646,249.39,2024-03-22 15:44:00,15
147,259,2322,202.72,2024-01-11 06:12:00,6
148,11822,3229,243.46,2024-01-17 13:49:00,13
149,22234,6581,428.52,2024-03-06 23:58:00,23
150,17019,2035,169.53,2024-01-15 16:46:00,16
151,9244,412,687.85,2024-02-28 23:34:00,23
152,5610,2800,136.67,2024-03-28 20:20:00,20
153,22442,758,8.67,2024-02-05 14:43:00,14
154,24837,5827,25.42,2024-01-05 23:33:00,23
155,6990,364,54.94,2024-01-11 05:12:00,5
156,24271,1303,161.82,2024-01-16 17:41:00,17
157,3448,4993,426.56,2024-03-18 17:11:00,17
158,22260,968,45.7,2024-03-22 13:19:00,13
159,4338,196,183.23,2024-01-14 14:27:00,14
160,17776,2404,154.39,2024-02-15 22:24:00,22
161,3128,7266,1753.88,2024-03-23 06:33:00,6
162,18659,695,46.73,2024-01-01 17:59:00,17
163,19081,6732,181.86,2024-03-27 16:27:00,16
164,9796,7366,114.7,2024-03-19 21:51:00,21
165,9055,3080,48.69,2024-02-20 14:07:00,14
166,4095,5782,179.62,2024-01-26 08:28:00,8
167,11777,7185,274.55,2024-01-24 08:59:00,8
168,7521,1530,29.39,2024-01-03 09:30:00,9
169,6630,7443,2.67,2024-02-02 09:48:00,9
170,2136,6879,39.54,2024-03-10 12:56:00,12
171,24574,1619,44.11,2024-01-01 05:51:00,5
172,6787,4241,30.83,2024-01-29 07:25:00,7
173,14235,969,423.62,2024-01-03 18:59:00,18
174,23956,2841,15.7,2024-01-18 11:49:00,11
175,7709,5076,13.85,2024-03-30 13:03:00,13
176,3290,6483,53.9,2024-01-15 17:29:00,17
177,13857,4722,18.37,2024-02-26 00:24:00,0
178,2236,2805,20.77,2024-01-02 07:12:00,7
179,18956,1387,7.69,2024-02-26 17:23:00,17
180,3784,6362,125.88,2024-01-05 09:29:00,9
181,1546,554,76.58,2024-03-15 11:41:00,11
182,11545,6228,33.47,2024-01-21 14:56:00,14
183,24506,1236,271.28,2024-02-04 17:57:00,17
184,13194,191,33.43,2024-01-21 14:23:00,14
185,17337,494,1477.8,2024-02-26 09:32:00,9
186,5870,4664,118.27,2024-03-13 18:22:00,18
187,17683,6729,93.0,2024-03-17 19:03:00,19
188,1861,2438,46.26,2024-01-26 06:18:00,6
189,23810,7494,306.8,2024-01-09 09:42:00,9
190,22607,3975,291.86,2024-01-31 02:01:00,2
191,3847,5747,127.74,2024-02-25 07:06:00,7
192,16733,3641,65.86,2024-02-07 14:25:00,14
193,13521,1300,52.0,2024-01-26 15:34:00,15
194,24733,149,15.34,2024-03-24 13:07:00,13
195,8221,1013,79.11,2024-01-30 00:30:00,0
196,17113,1119,182.4,2024-01-29 17:54:00,17
197,19038,768,54.31,2024-03-03 07:54:00,7
198,13073,1057,58.43,2024-03-19 14:07:00,14
199,14480,917,83.76,2024-02-02 15:21:00,15
200,2563,5931,80.78,2024-02-08 20:30:00,20
201,21625,7222,52.76,2024-02-23 11:10:00,11
202,11067,4250,11.43,2024-01-27 23:02:00,23
203,8130,7040,1.92,2024-02-14 08:58:00,8
204,4404,2687,32.5,2024-03-17 18:15:00,18
205,13057,5062,117.1,2024-02-04 14:00:00,14
206,17952,6674,661.6,2024-01-14 19:09:00,19
207,11685,5264,149.24,2024-02-01 20:04:00,20
208,2089,732,148.16,2024-01-27 02:55:00,2
209,1286,282,51.56,2024-01-05 06:47:00,6
210,17367,5207,196.27,2024-03-09 06:56:00,6
211,17982,901,49.4,2024-02-15 07:01:00,7
212,12154,7450,19.31,2024-03-05 15:02:00,15
213,19077,762,106.3,2024-01-29 06:08:00,6
214,19358,5826,257.28,2024-02-21 12:42:00,12
